type produit;numero AMM;nom produit;Composition;Revendication;Dénomination de classe;
MFSC;6090001;COTEN';;;;
MFSC;1170247;NITROGEN GR;Bradyrhizobium japonicum souche G 49  (Min: 1000000000 germes/g, Max: 1000000000 germes/g) ;;Matière fertilisante;
MFSC;1170248;NITROGEN;Bradyrhizobium japonicum souche G 49  (Min: 1000000000 germes/g, Max: 1000000000 germes/g) ;;Matière fertilisante;
MFSC;1160067;NUTRISTAR 22-5 SELEN;Matière sèche (Min: 98.0 % MB, Max: 98.0 % MB)  | Azote total (Min: 22.0 % MB, Max: 22.0 % MB)  | Azote ammoniacal (Min: 14.0 % MB, Max: 14.0 % MB)  | Azote nitrique (Min: 8.0 % MB, Max: 8.0 % MB)  | P2O5 total (Min: 5.0 % MB, Max: 5.0 % MB)  | SO3 total (Min: 21.0 % MB, Max: 21.0 % MB) ;Sélénium (Se) (Min:  , Max:  )  | P2O5 soluble dans eau (Min:  , Max:  )  | SO3 soluble dans l'eau (Min:  , Max:  ) ;Engrais;
MFSC;6070002;OXYOM;;;Amendement organo-minéral;
MFSC;1150019;PREMIER TECH-GHA180;Bacillus pumilus souche GHA180 (Min: 1000000000 spores/g, Max: 1000000000 spores/g) ;;Préparation bactérienne;
MFSC;1170689;SUPPORTER;Matière sèche (Min: 2.3 % MB, Max: 2.3 % MB)  | L-asparagine monohydrate (Min: 0.037 % MB, Max: 0.037 % MB)  | L-threonine (Min: 0.037 % MB, Max: 0.037 % MB)  | L-alanine (Min: 0.037 % MB, Max: 0.037 % MB)  | N-acetyl-L-alanyl-L-glutamine (Min: 0.066 % MB, Max: 0.066 % MB)  | L-valine (Min: 0.037 % MB, Max: 0.037 % MB)  | pH (Min: 4.6 , Max: 4.6 ) ;Acide citrique (hydrate de sel trisodique) (Min:  , Max:  )  | Acide maléique (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1150017;SORBISTART;Lactobacillus rhamnosus et farciminis (Min: 1000000000 UFC/kg, Max: 1000000000 UFC/kg) ;;Stimulateur de croissance des plantes;
MFSC;1150006;CENDRES DE BAGASSE ALBIOMA BOIS ROUGE;;;Engrais minéral PK;
MFSC;1150004;CENDRES DE BAGASSE ALBIOMA LE GOL;;;Engrais minéral PK;
MFSC;1150005;CENDRES DE BAGASSE ALBIOMA LE MOULE;;;Engrais minéral PK;
MFSC;1150016;AQUASATIS;;;Matière fertilisante;
MFSC;1160001;TRADIBASE MG;Taux d'humidité (Min: 16.0 % MB, Max: 16.0 % MB)  | Oxyde de calcium (CaO) du carbonate de calcium et de la dolomie (Min: 35.0 % MB, Max: 35.0 % MB)  | Oxyde de magnésium (MgO) de la dolomite  (Min: 6.5 % MB, Max: 6.5 % MB)  | Valeur neutralisante (Min: 46.0 ., Max: 46.0 .)  | Finesse de mouture (Min: 80.0 %, Max: 80.0 %) ;;Amendement minéral basique;
MFSC;1190852;MICROBACTER;Bacillus methylotrophicus souche B25 (Min: 100000000 UFC/g, Max: 100000000 UFC/g) ;;Préparation bactérienne;
MFSC;1180447;PIGMENTIL;Matière sèche (Min: 30.0 % MB, Max: 30.0 % MB)  | Manganèse (Mn) (Min: 1.83 % MB, Max: 1.83 % MB)  | Zinc (Zn) (Min: 1.9 % MB, Max: 1.9 % MB)  | Oxyde de calcium (CaO) (Min: 2.8 % MB, Max: 2.8 % MB)  | Oxyde de magnésium (MgO) (Min: 2.2 % MB, Max: 2.2 % MB)  | Extrait d'Ascophyllum nodosum (Min: 23.0 % MB, Max: 23.0 % MB)  | pH (Min: 4.0 , Max: 4.0 ) ;;Engrais;
MFSC;1170179;ALGONIA;;;Engrais organiques azotés;
MFSC;1190007;MICRO TONIC;Pseudomonas putida souche I-4613 (Min: 100000000 UFC/g, Max: 100000000 UFC/g) ;;Préparation bactérienne;
MFSC;1200252;TSL 292;Matière sèche (Min: 3.5 %, Max: 3.5 %)  | Extrait d'algues (Min: 6.0 %, Max: 6.0 %)  | Azote (N) total (Min: 0.12 %, Max: 0.12 %)  | Anhydride phosphorique (Min: 0.07 %, Max: 0.07 %)  | Oxyde de potassium (K2O) total (Min: 0.12 %, Max: 0.12 %)  | Acide alginique (Min: 0.2 %, Max: 0.2 %)  | pH (Min: 3.5 , Max: 3.5 ) ;;Matière fertilisante;
MFSC;1200295;TSL 29;Matière sèche (Min: 12.8 %, Max: 12.8 %)  | Matière organique (Min: 8.5 %, Max: 8.5 %)  | Extrait d'algues (Min: 11.5 %, Max: 11.5 %)  | Azote (N) total (Min: 0.2 %, Max: 0.2 %)  | Anhydride phosphorique (Min: 0.25 %, Max: 0.25 %)  | Oxyde de potassium (K2O) total (Min: 1.43 %, Max: 1.43 %)  | Cuivre (Cu) (Min: 0.12 %, Max: 0.12 %)  | pH (Min: 3.5 , Max: 3.5 ) ;;Matière fertilisante;
MFSC;1140013;MICROFLOR;Trichoderma harzianum souche CNCM I-4013 (Min: 0.05 kg/100 kg MB, Max: 0.05 kg/100 kg MB)  | Pseudomonas fluorescens souche B177 (Min: 19.95 kg/100 kg MB, Max: 19.95 kg/100 kg MB)  | Maltodextrine (Min: 80.0 kg/100 kg MB, Max: 80.0 kg/100 kg MB) ;Teneur en bactérie (en 10^8) (Min: 1.0 UFC/g, Max: 1.0 UFC/g) ;Matière fertilisante;
MFSC;9710070;PERMEATE;;Tension superficielle  (Min: 23.0 mN/m, Max: 23.0 mN/m) ;Conditionneur de sol;
MFSC;9810004;AQUA TOP;;Tension superficielle (Min: 23.0 mN/m, Max: 23.0 mN/m) ;Conditionneur de sol;
MFSC;1190282;INOQ ADVANTAGE;Rhizoglomus irregulare, Funneliformis mosseae, Funneliformis caledonium (Min: 550.0 millions de propagules / 100 mL, Max: 550.0 millions de propagules / 100 mL) ;;Préparation fongique;
MFSC;6190462;INOQ TOP;Rhizoglomus irregulare, Funneliformis mosseae, Funneliformis caledonium (Min: 145.0 , Max: 145.0 ) ;;Préparation fongique;
MFSC;1200546;VITIVERT MAX;Anhydride sulfurique (SO3) soluble dans l'eau (Min: 13.2 %, Max: 13.2 %)  | Manganèse (Mn) soluble dans l'eau (Min: 3.0 %, Max: 3.0 %)  | Zinc (Zn) soluble dans l'eau (Min: 3.0 %, Max: 3.0 %)  | Magnésium (Mg) (Min: 1.6 %, Max: 1.6 %)  | Fer (Fe) soluble dans l'eau (Min: 1.0 %, Max: 1.0 %)  | Filtrat d'algue Ascophyllum nodosum (GA 142) (Min: 25.0 %, Max: 25.0 %)  | pH (Min: 1.8 , Max: 1.8 ) ;;Matière fertilisante;
MFSC;1171301;R6-CDX;Bacillus amyloliquefaciens subsp. plantarum R6CDX (Min: 3900000000 UFC/mL, Max: 3900000000 UFC/mL) ;;Préparation bactérienne;
MFSC;1180794;GRAIN-SET;Matière sèche (Min: 14.2 %, Max: 14.2 %)  | Anhydride sulfurique (SO3) (Min: 3.08 %, Max: 3.08 %)  | Soufre élémentaire (S) (Min: 1.23 %, Max: 1.23 %)  | Zinc (Zn) (Min: 1.15 %, Max: 1.15 %)  | Manganèse (Mn) total (Min: 0.8 %, Max: 0.8 %) ;;Matière fertilisante;
MFSC;1190427;VITALINK TURBO;Azote (N) total (Min: 0.06 %, Max: 0.06 %)  | Anhydride phosphorique (Min: 0.01 %, Max: 0.01 %)  | Oxyde de potassium total (K2O) soluble dans l'eau (Min: 0.025 %, Max: 0.025 %)  | Anhydride sulfurique (SO3) total soluble dans l'eau (Min: 0.05 %, Max: 0.05 %)  | Oxyde de magnésium (MgO) (Min: 0.0030 %, Max: 0.0030 %)  | Oxyde de calcium (CaO) (Min: 0.0010 %, Max: 0.0010 %)  | Carbone (sucres) (Min: 0.6 %, Max: 0.6 %) ;;Matière fertilisante;
MFSC;1190539;TERREMO-COQUILLES;Matière sèche (Min: 99.0 % MB, Max: 99.0 % MB)  | Oxyde de calcium (CaO) total (Min: 57.7 % MB, Max: 57.7 % MB)  | Valeur neutralisante (Min: 51.8 , Max: 51.8 )  | Solubilité carbonique (CaCO3) (Min: 7.5 %, Max: 7.5 %)  | Azote (N) total (Min: 0.7 % MB, Max: 0.7 % MB)  | Oxyde de magnésium total (MgO) (Min: 0.7 % MB, Max: 0.7 % MB)  | Finesse de mouture passant à 4 mmm (Min: 96.0 %, Max: 96.0 %)  | pH (Min: 9.6 , Max: 9.6 ) ;;Amendement basique;
MFSC;1190423;APROSOIL G300;Matière sèche (Min: 96.1 %, Max: 96.1 %)  | Polymère (Min: 99.9 %, Max: 99.9 %)  | Capacité d'absorption d'eau dans de l'eau déminéralisée (Min: 93.0 % v / v, Max: 93.0 % v / v)  | Capacité d'absorption d'eau dans une solution de Ca(NO3)2 (Min: 95.0 % v / v, Max: 95.0 % v / v)  | Oxyde de sodium (Na2O) soluble dans l'eau (Min: 22.2 %, Max: 22.2 %)  | Granulométrie (Min: 0.125 , Max: 1.0 ) ;;Rétenteur d'eau;
MFSC;1180826;MYCO'SOL BTC;Azote ammoniacal (Min: 6.0 %, Max: 13.0 %)  | Oxyde de potassium (K2O)  (Min: 6.0 %, Max: 20.0 %)  | Bacillus amyloliquefaciens M4 (Min: 10000.0 UFC/kg, Max: 10000.0 UFC/kg)  | Trichoderma asperellum, souche FF12 (Min: 10000.0 UFC/kg, Max: 10000.0 UFC/kg)  | Coniothyrium minitans FV1 (Min: 10000.0 UFC/kg, Max: 10000.0 UFC/kg) ;;Préparation bactérienne;
MFSC;1000037;PROTIFERT LMW 8;;;Matière fertilisante | Stimulateur de croissance des plantes;
MFSC;1190701;FICOSTERRA-G;Azote (N) total (Min: 1.5 %, Max: 1.5 %)  | Anhydride phosphorique (Min: 0.5 %, Max: 0.5 %)  | Oxyde de potassium (K2O) soluble dans l'eau (Min: 0.2 %, Max: 0.2 %)  | Carbone organique (C) (Min: 30.0 %, Max: 30.0 %)  | Substances humiques (Min: 6.55 %, Max: 6.55 %)  | pH (Min: 7.1 , Max: 7.1 ) ;;Matière fertilisante;
